image_id,brand_id
69f94bf3b293362dbe209d9b,67b863779b10d35e1c1aca59
69f94befb293362dbe209d9a,67b892238bf10d5e04a49363
69f94be0b293362dbe209d99,67b860e47857415e0a4e5d76
69f94bdeb293362dbe209d98,67b882964b31535e279eb4b4
69f94bd4b293362dbe209d97,67b863779b10d35e1c1aca59
69f94bd2b293362dbe209d96,67b863779b10d35e1c1aca59
69f94bd0b293362dbe209d95,67b863779b10d35e1c1aca59
69f94bceb293362dbe209d94,67b882427857415e0a4e987d
69f94bccb293362dbe209d93,67b8932a7857415e0a4ebba6
69f94bcab293362dbe209d92,67b8932a7857415e0a4ebba6
69f94bc8b293362dbe209d91,67b84b039b10d35e1c1aa435
69f94bc7b293362dbe209d90,67b8932a7857415e0a4ebba6
69f94bc5b293362dbe209d8f,67b8932a7857415e0a4ebba6
69f94bc3b293362dbe209d8e,67b8932a7857415e0a4ebba6
69f94bc1b293362dbe209d8d,67b8932a7857415e0a4ebba6
69f94bbfb293362dbe209d8c,67b87dd88bf10d5e04a477fb
69f94bbdb293362dbe209d8b,68caa936e9cf45645321e79c
69f94bbbb293362dbe209d8a,67b87dd88bf10d5e04a477fb
69f94bbab293362dbe209d89,67b87dd88bf10d5e04a477fb
69f94baab293362dbe209d88,67b871714b31535e279e8dc5
69f94ba9b293362dbe209d87,686e6748d2da3c085479511f
69f94ba8b293362dbe209d86,67b871714b31535e279e8dc5
69f94ba7b293362dbe209d85,67b858cf9b10d35e1c1aba21
69f94ba5b293362dbe209d84,67b871714b31535e279e8dc5
69f94ba5b293362dbe209d83,68caa8a8e9cf45645321e768
69f94ba3b293362dbe209d82,67b858cf9b10d35e1c1aba21
69f94ba1b293362dbe209d81,68caa8a8e9cf45645321e768
69f94ba1b293362dbe209d80,67b858cf9b10d35e1c1aba21
69f94b9fb293362dbe209d7f,67b858cf9b10d35e1c1aba21
69f94b9fb293362dbe209d7e,67b89e0f7857415e0a4ed4cf
69f94b9db293362dbe209d7d,67b871714b31535e279e8dc5
69f94b9db293362dbe209d7c,686e6748d2da3c085479511f
69f94b9bb293362dbe209d7b,68caa8a8e9cf45645321e768
69f94b99b293362dbe209d7a,67e2a9d83678da4755d456e8
69f94b97b293362dbe209d79,68caa8a8e9cf45645321e768
69f94b96b293362dbe209d78,68caa8a8e9cf45645321e768
69f94b94b293362dbe209d77,67b8452d8bf10d5e04a41926
69f94b92b293362dbe209d76,686e6748d2da3c085479511f
69f94b90b293362dbe209d75,67b8480e7857415e0a4e265f
69f94b7db293362dbe209d74,67e2aa514f1381473b0afb48
69f94b7bb293362dbe209d73,67b8521d4b31535e279e63d7
69f94b79b293362dbe209d72,67b8521d4b31535e279e63d7
69f94b67b293362dbe209d71,68e3af1d9253995e8788c95b
69f94b65b293362dbe209d70,68caa908e9cf45645321e78d
69f94b62b293362dbe209d6f,68caa908e9cf45645321e78d
69f94b52b293362dbe209d6e,68caa908e9cf45645321e78d
69f94b4fb293362dbe209d6d,68caa908e9cf45645321e78d
69f94b4eb293362dbe209d6c,67b847019b10d35e1c1a9f72
69f94b4cb293362dbe209d6b,686e6469d2da3c0854795111
69f94b4ab293362dbe209d6a,67b847019b10d35e1c1a9f72
69f94b48b293362dbe209d69,686e668cd2da3c085479511c
69f94b46b293362dbe209d68,67b847019b10d35e1c1a9f72
69f94b44b293362dbe209d67,68cbf917c7d0095e76afb65e
69f94b3fb293362dbe209d66,68cbf917c7d0095e76afb65e
69f94b3db293362dbe209d65,68cbf917c7d0095e76afb65e
69f94b38b293362dbe209d64,67b8796c9b10d35e1c1ae6d1
69f94b36b293362dbe209d63,67b8796c9b10d35e1c1ae6d1
69f94b34b293362dbe209d62,67b8796c9b10d35e1c1ae6d1
